rank,url,project_name,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
1,https://data.mysociety.org,mySociety Datasets and APIs,69.0,59.0,10,0.86,LOW,HIGH,criteria,This is the kind of project I'd point to — the governance structure is sound. Popularity flag: well-documented and likely familiar to jury models — hold this score loosely
2,https://cortico.ai/platform,Cortico,68.4,58.4,10,0.86,LOW,LOW,criteria,Exactly what I mean when I say technology should serve people — the governance structure is sound
3,https://liquidfeedback.com,LiquidFeedback,67.9,65.9,2,0.86,LOW,LOW,criteria,Strong alignment here — strong alignment across the criteria that matter most to me
4,https://bonfirenetworks.org,Bonfire,64.9,54.9,10,0.86,LOW,LOW,criteria,"Partly aligned with what I care about, but the organisational model is a plus"
5,https://consulproject.org,CONSUL Democracy,62.3,52.3,10,0.86,LOW,HIGH,criteria,"Interesting project, though the organisational model is a plus. Popularity flag: well-documented and likely familiar to jury models — hold this score loosely"
6,https://openheartmind.org,Open Heart Mind (OHM),61.3,51.3,10,0.86,LOW,LOW,criteria,"There's genuine value here, though the organisational model is a plus"
7,https://citizenos.com/platform,Citizen OS,60.6,54.6,6,0.86,LOW,LOW,criteria,"Decent work, but the organisational model is a plus"
8,https://github.com/compdemocracy/polis,Polis,60.6,54.6,6,0.86,LOW,HIGH,criteria,"Some things to like, though the organisational model is a plus. Popularity flag: well-documented and likely familiar to jury models — hold this score loosely"
9,https://communities.sunlightfoundation.com/methodology,Tactical Data Engagement,60.4,54.4,6,0.86,LOW,HIGH,criteria,"Partly aligned with what I care about, but the organisational model is a plus. Popularity flag: well-documented and likely familiar to jury models — hold this score loosely"
10,https://opencollective.com,Open Collective,59.6,53.6,6,0.86,LOW,LOW,criteria,"Interesting project, though the organisational model is a plus"
11,https://participedia.net,Participedia,59.2,53.2,6,0.86,LOW,LOW,criteria,"There's genuine value here, though the organisational model is a plus"
12,https://yourtracka.org,Tracka,59.1,49.1,10,0.86,LOW,LOW,modifier,"Decent work, but the organisational model is a plus"
13,https://opendigitalplanning.org,Open Digital Planning,58.8,52.8,6,0.86,LOW,LOW,criteria,"Some things to like, though the organisational model is a plus"
14,https://standards.theodi.org,Open Standards for Data Guidebook,58.8,52.8,6,0.86,LOW,LOW,criteria,"Partly aligned with what I care about, but the organisational model is a plus"
