rank,project_name,url,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
1,Aragon,https://aragon.org,70.7,64.7,6,0.75,LOW,LOW,criteria,"Aragon scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how. The extractive or surveillance dimension here is what pulls the score down — I can't endorse a model that extracts from communities without redistributing governance."
2,The DAO (Standard DAO Framework),https://github.com/vbuterin/dao,68.0,52.0,16,0.75,LOW,MEDIUM,modifier,"The DAO (Standard DAO Framework) applies programmable, verifiable mechanisms to governance — this is precisely what I mean by 'programmable governance': not just a platform with governance features, but mechanisms where the rules are encoded and auditable. The on-chain or cryptographically verifiable component gets a meaningful boost from me — this is the rare case where 'programmable governance' isn't just a marketing claim."
3,Ethelo,https://ethelo.com,67.9,54.9,13,1.0,LOW,MEDIUM,criteria,"Ethelo scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
4,Bonfire,https://bonfirenetworks.org/,65.8,61.8,4,0.83,LOW,LOW,criteria,"Bonfire demonstrates what I mean by collective ownership being technically viable — the governance architecture gives communities actual decision-making rights over the infrastructure, not just advisory input."
5,LiquidFeedback,https://liquidfeedback.com,65.8,61.8,4,1.0,LOW,MEDIUM,criteria,"LiquidFeedback scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
6,Tech Coops List,https://tech-coops.xyz,65.8,61.8,4,0.75,LOW,MEDIUM,criteria,"Tech Coops List scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
7,Open Heart Mind (OHM),https://openheartmind.org,65.7,63.7,2,0.83,LOW,LOW,criteria,"Open Heart Mind (OHM) scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
8,Cobudget,https://cobudget.com,64.7,64.7,0,1.0,LOW,HIGH,criteria,"Cobudget scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how. High popularity risk: Cobudget is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
9,Polis,https://github.com/compdemocracy/polis,64.7,64.7,0,1.0,LOW,HIGH,criteria,"Polis scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how. High popularity risk: Polis is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
10,Populate Tools,https://github.com/populatetools,64.7,64.7,0,0.83,LOW,MEDIUM,criteria,"Populate Tools scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
